Year,nazva,ACC,TOTPROV,CONVIC,PROB,IMP,RESTOL,ARREST,CORRW,PUBLW,FINE
2019,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",23,0,1,0,0,0,0,0,0,1
2019,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",472,18,0,0,0,0,0,0,0,0
2020,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",16,1,0,0,0,0,0,0,0,0
2020,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",379,27,0,0,0,0,0,0,0,0
2020,Стаття 368-5. Незаконне збагачення,10,0,0,0,0,0,0,0,0,0
2021,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",17,2,1,0,0,0,0,0,0,1
2021,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",422,55,0,0,0,0,0,0,0,0
2021,Стаття 368-5. Незаконне збагачення,18,0,0,0,0,0,0,0,0,0
2022,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",3,0,0,0,0,0,0,0,0,0
2022,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",239,29,0,0,0,0,0,0,0,0
2022,Стаття 368-5. Незаконне збагачення,17,0,0,0,0,0,0,0,0,0
2023,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",12,0,0,0,0,0,0,0,0,0
2023,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",227,28,1,0,1,0,0,0,0,0
2023,Стаття 368-5. Незаконне збагачення,77,0,0,0,0,0,0,0,0,0
2024,"Стаття 210. Нецільове використання бюджетних коштів, здійснення видатків бюджету чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх перевищенням",12,2,0,0,0,0,0,0,0,0
2024,"Стаття 365-2. Зловживання повноваженнями особами, які надають публічні послуги",179,37,2,2,0,0,0,0,0,0
2024,Стаття 368-5. Незаконне збагачення,102,0,0,0,0,0,0,0,0,0
