Year,Article,CONVIC,G5,G6,G7,Total_CONVIC_Per_Article,G5_Percentage,G6_Percentage,G7_Percentage
2013,309,12468,192,0,0,106008,0.1811184061580258,0.0,0.0
2014,309,9197,173,0,0,106008,0.16319523054863785,0.0,0.0
2015,309,8119,80,0,0,106008,0.07546600256584408,0.0,0.0
2016,309,6997,65,0,0,106008,0.06131612708474832,0.0,0.0
2017,309,8997,71,1,0,106008,0.06697607727718663,0.0009433250320730511,0.0
2018,309,8513,51,0,0,106008,0.048109576635725605,0.0,0.0
2019,309,7992,37,0,0,106008,0.034903026186702886,0.0,0.0
2020,309,8450,16,0,0,106008,0.015093200513168818,0.0,0.0
2021,309,7145,25,0,0,106008,0.02358312580182628,0.0,0.0
2022,309,6516,37,0,0,106008,0.034903026186702886,0.0,0.0
2023,309,10831,29,0,0,106008,0.027356425930118482,0.0,0.0
2024,309,10783,18,3,0,106008,0.01697985057731492,0.002829975096219153,0.0
